序号,院校名称,学校标识码,主管部门,所在地,层次,省市,性质,研究生,共建方,城市级,考研,推免,深造,国内升学,出国,行业隶属,顶尖专业,特色专业,官网,可点击链接
1300,江西卫生职业学院,4136013965,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxhlxy.com.cn/,http://www.jxhlxy.com.cn/
1301,江西新能源科技职业学院,4136014166,江西省教育厅,新余市,专科,江西,民办,,,五线,,,,,,,,,http://www.tynxy.com/,http://www.tynxy.com/
1302,江西枫林涉外经贸职业学院,4136014167,江西省教育厅,九江市,专科,江西,民办,,,三线,,,,,,,,,http://www.fenglin.org/,http://www.fenglin.org/
1303,江西泰豪动漫职业学院,4136014168,江西省教育厅,南昌市,专科,江西,民办,,,二线,,,,,,,,,http://www.tellhowedu.com/,http://www.tellhowedu.com/
1304,江西冶金职业技术学院,4136014241,江西省,新余市,专科,江西,公办,,,五线,,,,,,,,,http://www.jxyjxy.com/,http://www.jxyjxy.com/
1305,江西管理职业学院,4136014249,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxglzyxy.com/,http://www.jxglzyxy.com/
1306,江西传媒职业学院,4136014250,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxmvc.cn/html/cmsy/index.html,http://www.jxmvc.cn/html/cmsy/index.html
1307,江西工商职业技术学院,4136014321,江西省教育厅,南昌市,专科,江西,民办,,,二线,,,,,,,,,http://www.jxgsxy.cn/,http://www.jxgsxy.cn/
1308,景德镇陶瓷职业技术学院,4136014402,江西省教育厅,景德镇市,专科,江西,民办,,,四线,,,,,,,,,http://www.jcivt.com/,http://www.jcivt.com/
1309,共青科技职业学院,4136014403,江西省教育厅,九江市,专科,江西,民办,,,三线,,,,,,,,,http://www.gqkj.com.cn/,http://www.gqkj.com.cn/
1310,赣州师范高等专科学校,4136014465,江西省,赣州市,专科,江西,公办,,,三线,,,,,,,,,http://www.ganzhsz.cn/default.shtml,http://www.ganzhsz.cn/default.shtml
1311,江西水利职业学院,4136014476,江西省,南昌市,专科,江西,公办,,,二线,,,,,,,,,http://www.jxslsd.com/,http://www.jxslsd.com/
1312,宜春幼儿师范高等专科学校,4136014494,江西省,宜春市,专科,江西,公办,,,三线,,,,,,,,,http://www.gacycu.cn/,http://www.gacycu.cn/
